ZipCode,Charging Station,Charging Ports,Total Duration (hours),Charging Time (hours),Energy Consumed
94301,BRYANT,12,2.486697511205473,2.0318577553668318,8.223009347048832
94301,HAMILTON,4,2.5197282237938565,2.0373647847349954,7.911615085541826
94301,HIGH,8,2.3223688248398773,1.9212269910888333,8.684358930426065
94301,WEBSTER #1,2,2.762036331300813,2.146459180216802,9.636145802383592
94301,WEBSTER #2,2,2.811073530314591,2.164907538962121,9.92939402959981
94301,WEBSTER #3,2,2.663329570986477,2.0922804856076986,9.407636491797025
94303,MPL,6,2.537602908988209,1.8980315591486425,8.64962921107816
94303,RINCONADA LIB #1,2,2.6770585157759177,2.0662594798597698,9.494851804249839
94303,RINCONADA LIB #2,2,2.658285611381235,2.0691588630770155,9.501341605438501
94303,RINCONADA LIB #3,2,2.5679557111350464,1.9926610931596314,9.229213567471918
94306,CAMBRIDGE,10,2.141231696354647,1.7883708108181178,7.141849094528422
94306,SHERMAN,22,2.6462820512820513,2.423482905982906,13.329025641025641
94306,TED THOMPSON,8,2.6439571532099357,2.232435309292059,9.674760268310196
