id,station_name,zip_code,charge_level,latitude,longitude,modified,created,connector_type,price,site_id,status,insert stations
1224,The Players Casino Ventura - Tesla Destination,93003,2,34.244476,-119.198193,2021-03-11 23:22:17+00:00,09/01/2017,J1772 TESLA,0,611,available,"('The Players Casino Ventura - Tesla Destination', 2, Point(-119.198193, 34.244476), '2021-03-11 23:22:17+00:00', '2017-09-01 00:00:00', 'J1772 TESLA', 0, 611),"
1225,The Plaza Suites Hotel Silicon Valley @ Santa Clara,95054,2,37.3865906,-121.9833958,2022-10-21 00:32:03+00:00,09/08/2021,J1772,0.6,612,available,"('The Plaza Suites Hotel Silicon Valley @ Santa Clara', 2, Point(-121.9833958, 37.3865906), '2022-10-21 00:32:03+00:00', '2021-09-08 00:00:00', 'J1772', 0.6, 612),"
1226,The Plaza Suites Hotel Silicon Valley @ Santa Clara,95054,2,37.3865906,-121.9833958,2022-10-21 00:32:03+00:00,09/08/2021,J1772,0.6,612,available,"('The Plaza Suites Hotel Silicon Valley @ Santa Clara', 2, Point(-121.9833958, 37.3865906), '2022-10-21 00:32:03+00:00', '2021-09-08 00:00:00', 'J1772', 0.6, 612),"
1227,The Plaza Suites Hotel Silicon Valley @ Santa Clara,95054,2,37.3865906,-121.9833958,2022-10-21 00:32:03+00:00,09/08/2021,J1772,0.6,612,available,"('The Plaza Suites Hotel Silicon Valley @ Santa Clara', 2, Point(-121.9833958, 37.3865906), '2022-10-21 00:32:03+00:00', '2021-09-08 00:00:00', 'J1772', 0.6, 612),"
1228,The Promenade in Temecula - Tesla Supercharger,92591,3,33.52421,-117.152568,2021-11-04 18:37:47+00:00,05/01/2016,TESLA,0.28,613,available,"('The Promenade in Temecula - Tesla Supercharger', 3, Point(-117.152568, 33.52421), '2021-11-04 18:37:47+00:00', '2016-05-01 00:00:00', 'TESLA', 0.28, 613),"
1229,The Ranch at Laguna Beach - Tesla Destination,92651,2,33.511463,-117.752795,2021-03-11 23:22:17+00:00,04/01/2016,J1772 TESLA,0,614,available,"('The Ranch at Laguna Beach - Tesla Destination', 2, Point(-117.752795, 33.511463), '2021-03-11 23:22:17+00:00', '2016-04-01 00:00:00', 'J1772 TESLA', 0, 614),"
1230,The Redwood Riverwalk Hotel - Tesla Destination,95540,2,40.578178,-124.152549,2021-03-11 23:22:17+00:00,05/01/2016,TESLA,0,615,available,"('The Redwood Riverwalk Hotel - Tesla Destination', 2, Point(-124.152549, 40.578178), '2021-03-11 23:22:17+00:00', '2016-05-01 00:00:00', 'TESLA', 0, 615),"
1231,The Redwood Riverwalk Hotel - Tesla Destination,95540,2,40.578178,-124.152549,2021-03-11 23:22:17+00:00,05/01/2016,TESLA,0,615,available,"('The Redwood Riverwalk Hotel - Tesla Destination', 2, Point(-124.152549, 40.578178), '2021-03-11 23:22:17+00:00', '2016-05-01 00:00:00', 'TESLA', 0, 615),"
1232,The Ritz-Carlton Hotel San Francisco - Tesla Destination,94108,2,37.791841,-122.40684,2021-03-11 23:22:17+00:00,03/01/2016,J1772 TESLA,0,616,available,"('The Ritz-Carlton Hotel San Francisco - Tesla Destination', 2, Point(-122.40684, 37.791841), '2021-03-11 23:22:17+00:00', '2016-03-01 00:00:00', 'J1772 TESLA', 0, 616),"
1233,"The Ritz-Carlton, Marina Del Rey - Tesla Destination",90292,2,33.984245,-118.450318,2021-03-11 23:22:17+00:00,06/01/2015,J1772 TESLA,0,617,available,"('The Ritz-Carlton, Marina Del Rey - Tesla Destination', 2, Point(-118.450318, 33.984245), '2021-03-11 23:22:17+00:00', '2015-06-01 00:00:00', 'J1772 TESLA', 0, 617),"
